seed,d_test_accuracy,d_gap,d_macro_precision,d_macro_recall,d_fit_final_train_acc
0,-0.032999999999999974,-0.0031000375747680664,-0.011267372628522565,-0.03541594054884167,-0.04319998621940613
1,-0.04899999999999993,-0.014399945735931396,-0.05191503087315458,-0.04604447630989178,-0.048700034618377686
2,-0.07066666666666666,-0.03989994525909424,-0.06888669677656456,-0.06966045152773948,-0.060899972915649414
3,-0.03666666666666668,0.007600009441375732,-0.018601641300542704,-0.035880871392862224,-0.0153999924659729
4,-0.03400000000000003,-0.03849998116493225,-0.03146531529756269,-0.033627020174385236,-0.05739998817443848
5,0.001333333333333353,-0.029900014400482178,-0.012491989836614203,0.0035595148967980106,-0.04340001940727234
6,0.0030000000000000027,-0.019800007343292236,-0.008146192564422061,0.001307012591067247,-0.03760001063346863
7,-0.030666666666666675,-0.03169998526573181,-0.027859116205036005,-0.029416531177859695,-0.018399983644485474
8,-0.034666666666666734,-0.014099985361099243,-0.02325210884511386,-0.0348464408844994,-0.03290000557899475
9,0.0063333333333333575,-0.017099976539611816,0.0007354057065256381,0.008055372457646592,-0.01850000023841858
