seed,condition,test_accuracy,macro_precision,macro_recall,clean_train_acc,clean_val_acc,gap,fit_final_train_acc,wall_clock_sec
0,baseline,0.495,0.5088833605732076,0.4976540160256707,0.527400016784668,0.4934999942779541,0.03390002250671387,0.5116999745368958,4.25725793838501
0,augmented,0.462,0.49761598794468503,0.46223807547682905,0.47679999470710754,0.44600000977516174,0.0307999849319458,0.4684999883174896,4.78994607925415
1,baseline,0.5246666666666666,0.5376325329592353,0.5234197376792122,0.5669999718666077,0.5210000276565552,0.04599994421005249,0.5217000246047974,3.9171864986419678
1,augmented,0.4756666666666667,0.4857175020860807,0.47737526136932046,0.5110999941825867,0.4794999957084656,0.031599998474121094,0.4729999899864197,4.622926235198975
2,baseline,0.5466666666666666,0.5464626021571,0.5466631548524216,0.5871999859809875,0.5325000286102295,0.05469995737075806,0.5393999814987183,4.22834038734436
2,augmented,0.476,0.4775759053805354,0.4770027033246821,0.4927999973297119,0.4779999852180481,0.014800012111663818,0.47850000858306885,4.7228851318359375
3,baseline,0.503,0.5164835132821242,0.5040683940427597,0.5160999894142151,0.49300000071525574,0.02309998869895935,0.4869000017642975,3.9650368690490723
3,augmented,0.4663333333333333,0.49788187198158146,0.4681875226498975,0.48919999599456787,0.4584999978542328,0.030699998140335083,0.4715000092983246,4.660724878311157
4,baseline,0.534,0.5411088541618623,0.5337417174209141,0.5831999778747559,0.5210000276565552,0.062199950218200684,0.5358999967575073,4.099448919296265
4,augmented,0.5,0.5096435388642996,0.5001146972465289,0.5181999802589417,0.4945000112056732,0.023699969053268433,0.47850000858306885,4.945595741271973
5,baseline,0.47833333333333333,0.510785184111948,0.4818199016759426,0.5174000263214111,0.47200000286102295,0.045400023460388184,0.5112000107765198,4.281257629394531
5,augmented,0.4796666666666667,0.49829319427533375,0.4853794165727406,0.4950000047683716,0.4794999957084656,0.015500009059906006,0.46779999136924744,4.803034782409668
6,baseline,0.5,0.515944907016746,0.5038227237543663,0.5331000089645386,0.48500001430511475,0.04809999465942383,0.5044000148773193,4.110171318054199
6,augmented,0.503,0.5077987144523239,0.5051297363454336,0.5232999920845032,0.4950000047683716,0.028299987316131592,0.4668000042438507,4.690182209014893
7,baseline,0.4866666666666667,0.5226344403614098,0.48454749665264946,0.5214999914169312,0.47049999237060547,0.050999999046325684,0.49459999799728394,3.88295316696167
7,augmented,0.456,0.4947753241563738,0.45513096547478976,0.47530001401901245,0.4560000002384186,0.019300013780593872,0.47620001435279846,4.685838222503662
8,baseline,0.5116666666666667,0.5240679179911734,0.514260895736472,0.5426999926567078,0.5055000185966492,0.037199974060058594,0.5166000127792358,4.149984121322632
8,augmented,0.477,0.5008158091460595,0.47941445485197265,0.4921000003814697,0.4690000116825104,0.02309998869895935,0.4837000072002411,4.90359091758728
9,baseline,0.489,0.4974681923620826,0.4897599580362816,0.5321999788284302,0.49149999022483826,0.04069998860359192,0.49799999594688416,4.225481033325195
9,augmented,0.49533333333333335,0.49820359806860826,0.4978153304939282,0.51910001039505,0.49549999833106995,0.023600012063980103,0.4794999957084656,5.025969982147217
