class_name,condition,precision,recall,f1
airplane,augmented,0.5827,0.5485,0.5532
airplane,baseline,0.5541,0.6456,0.5844
automobile,augmented,0.5453,0.7052,0.603
automobile,baseline,0.6241,0.6434,0.6236
bird,augmented,0.4879,0.1719,0.2408
bird,baseline,0.4412,0.2518,0.3077
cat,augmented,0.3644,0.2669,0.2922
cat,baseline,0.4027,0.2805,0.3099
deer,augmented,0.4903,0.2795,0.3363
deer,baseline,0.4648,0.3795,0.3917
dog,augmented,0.4404,0.4456,0.4289
dog,baseline,0.4716,0.4484,0.4498
frog,augmented,0.47,0.6476,0.5354
frog,baseline,0.5336,0.6589,0.5728
horse,augmented,0.4773,0.6351,0.5383
horse,baseline,0.5245,0.6268,0.5641
ship,augmented,0.6156,0.584,0.5854
ship,baseline,0.6264,0.6125,0.6022
truck,augmented,0.4945,0.5234,0.4927
truck,baseline,0.5786,0.5324,0.5287
